Assigment name,Assignment,Assignment Type,Author,Billable Hours,Category,Cost Center,Cost Center (Business Unit),Customer Responsible,Date,Employee Role,Entry Date,Hour Price,Hours Worked,Industry,Internal,Invoice Number,Invoiced,Invoicing Date,Margin,Non-Billable,Owner,Paid,Parent Company,Parent Company Home Country,Parent Company Industry,Parent Company Responsible,Parent Company Type,Payer,Payer Home Country,Payment Date,Principal,Principal Home Country,Principal Type,Responsible,Seller,Skill,Status (Registere,Tax Rate,Total,Transaction,Transaction Type,Transaction Type Englis,Transaction status (Ope,Type (Fe
 Arviointipalvelu   Tontit,10,Arviointipalvelu - Tontit,Helen Hakaniemi,0.0,,Arviointipalvelu,Arviointipalvelu,Helen Hakaniemi,2010-01-27,,2008-09-11,0.0,8.0,Muu,False,20080088,500.0,2009-01-07,970.0,False,Boris Keilaniemi,500.0,,,,,,Arviointikeskus Oy,Suomi,2010-01-27,Arviointikeskus Oy,Suomi,Key customer,Helen Hakaniemi,,juridiikka,Maksettu,Alv 22 %,1000.0,Perehdytty asiaan,Tutkittu asiaa,Investigation,Maksettu,Palkkio
 Arviointipalvelu   Tontit,10,Arviointipalvelu - Tontit,Helen Hakaniemi,10.0,,Arviointipalvelu,Arviointipalvelu,Helen Hakaniemi,2010-01-27,,2008-09-12,170.0,10.0,Muu,False,20080088,425.0,2009-01-07,820.0,False,Boris Keilaniemi,425.0,,,,,,Arviointikeskus Oy,Suomi,2010-01-27,Arviointikeskus Oy,Suomi,Key customer,Helen Hakaniemi,,,Maksettu,Alv 22 %,850.0,"Puhelinneuvottelu Kivinen / Majava
Käytiin läpi toimeksiannon etenemistä",Puhelinneuvottelu,Phone meeting,Maksettu,Palkkio
 Arviointipalvelu   Tontit,10,Arviointipalvelu - Tontit,Helen Hakaniemi,8.0,,Arviointipalvelu,Arviointipalvelu,Helen Hakaniemi,2010-01-27,,2008-09-11,170.0,7.0,Muu,False,20080088,340.0,2009-01-07,650.0,False,Boris Keilaniemi,340.0,,,,,,Arviointikeskus Oy,Suomi,2010-01-27,Arviointikeskus Oy,Suomi,Key customer,Helen Hakaniemi,,juridiikka,Maksettu,Alv 22 %,680.0,Tapaaminen asiakkaan luona,Puhelinneuvottelu,Phone meeting,Maksettu,Palkkio
 arvio 100,11,Arviointipalvelu - Tontit,Viivi Vuosaari,3.0,,,,Viivi Vuosaari,2009-09-14,,2008-09-12,170.0,0.0,,False,20090024,255.0,2009-03-12,255.0,False,Viivi Vuosaari,255.0,,,,,,Rehnberg & Co,Suomi,2009-09-14,Rehnberg & Co,Suomi,,Viivi Vuosaari,,,Maksettu,Alv 22 %,255.0,Esiintyminen oikeudessa,Esiintyminen oikeudessa,Court appearance,Maksettu,Palkkio
 arvio 100,11,Arviointipalvelu - Tontit,Viivi Vuosaari,0.0,,,,Viivi Vuosaari,2009-03-12,,2009-03-12,,0.0,,False,20090002,50.0,2009-03-12,,False,Viivi Vuosaari,34.980000000000004,,,,,,Rehnberg & Co,Suomi,2009-03-12,Rehnberg & Co,Suomi,,Viivi Vuosaari,,,Maksettu,Veroton,50.0,Kaupparekisteriote,Kaupparekisteriote,Trade register document,Maksettu,Kulu
 arvio 100,11,Arviointipalvelu - Tontit,Viivi Vuosaari,0.0,,,,Viivi Vuosaari,2009-09-14,,2008-09-12,,0.0,,False,20090024,88.0,2009-03-12,,False,Viivi Vuosaari,88.0,,,,,,Rehnberg & Co,Suomi,2009-09-14,Rehnberg & Co,Suomi,,Viivi Vuosaari,,,Maksettu,Alv 22 %,88.0,Matkakorvaus,Kilometrikorvaus,Mileage allowance,Maksettu,Kulu
 arvio 100,11,Arviointipalvelu - Tontit,Viivi Vuosaari,6.0,,,,Viivi Vuosaari,2009-09-14,,2008-09-12,100.0,6.0,,False,20090024,300.0,2009-03-12,270.0,False,Viivi Vuosaari,300.0,,,,,,Rehnberg & Co,Suomi,2009-09-14,Rehnberg & Co,Suomi,,Viivi Vuosaari,,,Maksettu,Alv 22 %,300.0,Muu,Puhelinneuvottelu,Phone meeting,Maksettu,Palkkio
 arvio 100,11,Arviointipalvelu - Tontit,Viivi Vuosaari,2.0,,,,Viivi Vuosaari,2009-09-14,,2008-09-12,170.0,2.0,,False,20090024,170.0,2009-03-12,140.0,False,Viivi Vuosaari,170.0,,,,,,Rehnberg & Co,Suomi,2009-09-14,Rehnberg & Co,Suomi,,Viivi Vuosaari,,,Maksettu,Alv 22 %,170.0,Neuvottelu tstossa,Neuvottelu tstossa,Meeting at the office,Maksettu,Palkkio
 arvio 100,11,Arviointipalvelu - Tontit,Viivi Vuosaari,2.7,Laskutettava,,,Viivi Vuosaari,2009-03-12,,2009-03-12,200.0,2.7,,False,20090002,200.0,2009-03-12,170.0,False,Viivi Vuosaari,139.91,,,,,,Rehnberg & Co,Suomi,2009-03-12,Rehnberg & Co,Suomi,,Viivi Vuosaari,,,Maksettu,Alv 22 %,200.0,Sopimus,Sopimus,Contract,Maksettu,Palkkio
 arvio 100,11,Arviointipalvelu - Tontit,Viivi Vuosaari,26.990000000000002,,,,Viivi Vuosaari,2009-03-12,,2009-03-12,200.0,26.990000000000002,,False,20090002,2000.0,2009-03-12,1970.0,False,Viivi Vuosaari,1399.05,,,,,,Rehnberg & Co,Suomi,2009-03-12,Rehnberg & Co,Suomi,,Viivi Vuosaari,,,Maksettu,Alv 22 %,2000.0,Toimeksiantoon perehtyminen,Tutkittu asiaa,Investigation,Maksettu,Palkkio
 raakama järvenpää,12,Arviointipalvelu - Asuinhuoneistot,Kustaa Kulosaari,26.939999999999998,,,,Kustaa Kulosaari,2010-01-21,,2008-09-12,170.0,2.99,,False,20080083,1530.0,2009-01-07,1500.0,False,Kustaa Kulosaari,1519.07,,,,,,PR Oy,Suomi,NaT,PR Oy,Suomi,,Boris Keilaniemi,,,Maksettu,Alv 22 %,1530.0,Esiintyminen oikeudessa,Esiintyminen oikeudessa,Court appearance,Avoin,Palkkio
 raakama järvenpää,12,Arviointipalvelu - Asuinhuoneistot,Kustaa Kulosaari,0.0,,,,Kustaa Kulosaari,2010-01-21,,2008-09-12,,0.0,,False,20080083,29.04,2009-01-07,,False,Kustaa Kulosaari,28.83,,,,,,PR Oy,Suomi,NaT,PR Oy,Suomi,,Boris Keilaniemi,,,Maksettu,Alv 22 %,29.04,Matkakorvaus,Kilometrikorvaus,Mileage allowance,Avoin,Kulu
 raakama järvenpää,12,Arviointipalvelu - Asuinhuoneistot,Kustaa Kulosaari,5.99,,,,Kustaa Kulosaari,2010-01-21,,2008-09-12,170.0,2.99,,False,20080083,340.0,2009-01-07,310.0,False,Kustaa Kulosaari,337.57,,,,,,PR Oy,Suomi,NaT,PR Oy,Suomi,,Boris Keilaniemi,,,Maksettu,Alv 22 %,340.0,Toimeksiantoon perehtyminen,Tutkittu asiaa,Investigation,Avoin,Palkkio
 raakama järvenpää,12,Arviointipalvelu - Asuinhuoneistot,Kustaa Kulosaari,0.0,,,,Kustaa Kulosaari,2010-01-21,,2008-09-12,,0.0,,False,20080083,31.0,2009-01-07,,False,Kustaa Kulosaari,30.78,,,,,,PR Oy,Suomi,NaT,PR Oy,Suomi,,Boris Keilaniemi,,,Maksettu,Alv 22 %,31.0,pr,PR,PR,Avoin,Kulu
 raakama järvenpää,12,Arviointipalvelu - Asuinhuoneistot,Kustaa Kulosaari,0.0,Laskutettava,,,Kustaa Kulosaari,2010-01-21,,2008-09-12,,0.0,,False,20080083,164.0,2009-01-07,,False,Kustaa Kulosaari,162.83,,,,,,PR Oy,Suomi,NaT,PR Oy,Suomi,,Boris Keilaniemi,,,Maksettu,Veroton,164.0,päätöksen lunastus,Päätöksen lunastus,Resolution claim,Avoin,Kulu
 Tonttien arviointi Järvenpäässä,13,Arviointipalvelu - Tontit,Jopi Jalkapuoli,20.0,,,,Jopi Jalkapuoli,2009-03-12,,2008-09-12,170.0,20.0,,False,20080087,850.0,2009-01-07,820.0,False,Kustaa Kulosaari,1700.0,,,,,,Senaatti,Suomi,2009-03-12,Senaatti,Suomi,,Jopi Jalkapuoli,,juridiikka,Maksettu,Alv 22 %,850.0,Esiintyminen oikeudessa,Esiintyminen oikeudessa,Court appearance,Maksettu,Palkkio
 Tonttien arviointi Järvenpäässä,13,Arviointipalvelu - Tontit,Jopi Jalkapuoli,16.0,,,,Jopi Jalkapuoli,2009-03-12,,2008-09-12,170.0,12.0,,False,20080087,680.0,2009-01-07,650.0,False,Kustaa Kulosaari,1360.0,,,,,,Senaatti,Suomi,2009-03-12,Senaatti,Suomi,,Jopi Jalkapuoli,,juridiikka,Maksettu,Alv 22 %,680.0,Haastehakemuksen työstäminen,Haastehakemuksen työstäminen,Writing a complaint,Maksettu,Palkkio
 Tonttien arviointi Järvenpäässä,13,Arviointipalvelu - Tontit,Jopi Jalkapuoli,0.0,,,,Jopi Jalkapuoli,2009-03-12,,2008-09-12,,0.0,,False,20080087,0.0,2009-01-07,,False,Kustaa Kulosaari,0.0,,,,,,Senaatti,Suomi,2009-03-12,Senaatti,Suomi,,Jopi Jalkapuoli,,,Maksettu,Veroton,0.0,Kaupparekisteriote,Kaupparekisteriote,Trade register document,Maksettu,Kulu
 Tonttien arviointi Järvenpäässä,13,Arviointipalvelu - Tontit,Jopi Jalkapuoli,0.0,,,,Jopi Jalkapuoli,2009-03-12,,2008-09-12,,0.0,,False,20080087,102.96,2009-01-07,,False,Kustaa Kulosaari,205.92,,,,,,Senaatti,Suomi,2009-03-12,Senaatti,Suomi,,Jopi Jalkapuoli,,,Maksettu,Alv 22 %,102.96,Matkakorvaus,Kilometrikorvaus,Mileage allowance,Maksettu,Kulu
 Tonttien arviointi Järvenpäässä,13,Arviointipalvelu - Tontit,Jopi Jalkapuoli,4.0,,,,Jopi Jalkapuoli,2009-03-12,,2008-09-12,170.0,4.0,,False,20080087,170.0,2009-01-07,140.0,False,Kustaa Kulosaari,340.0,,,,,,Senaatti,Suomi,2009-03-12,Senaatti,Suomi,,Jopi Jalkapuoli,,juridiikka,Maksettu,Alv 22 %,170.0,Neuvottelu tstossa,Neuvottelu tstossa,Meeting at the office,Maksettu,Palkkio
 Tietoimtus/jkevyt liikenne,14,Edunvalvontapalvelu - Maantiet,Boris Keilaniemi,22.0,,,Lakipalveluja,Boris Keilaniemi,2009-01-07,Osakas,2008-09-12,170.0,10.0,,False,20080085,1870.0,2009-01-07,1840.0,False,Boris Keilaniemi,0.0,,,,,,Laura Backa Kb,Suomi,NaT,Laura Backa Kb,Suomi,,Boris Keilaniemi,,juridiikka,Laskutettu,Alv 22 %,1870.0,Esiintyminen oikeudessa,Esiintyminen oikeudessa,Court appearance,Avoin,Palkkio
 Tietoimtus/jkevyt liikenne,14,Edunvalvontapalvelu - Maantiet,Boris Keilaniemi,10.0,,,,Boris Keilaniemi,2009-01-07,Osakas,2008-10-07,170.0,10.0,,False,20080085,850.0,2009-01-07,820.0,False,Boris Keilaniemi,0.0,,,,,,Laura Backa Kb,Suomi,NaT,Laura Backa Kb,Suomi,,Boris Keilaniemi,,,Laskutettu,Alv 22 %,850.0,Haastehakemuksen työstäminen,Haastehakemuksen työstäminen,Writing a complaint,Avoin,Palkkio
 Tietoimtus/jkevyt liikenne,14,Edunvalvontapalvelu - Maantiet,Boris Keilaniemi,0.0,,,,Boris Keilaniemi,2009-01-07,Osakas,2008-09-12,,0.0,,False,20080085,10.0,2009-01-07,,False,Boris Keilaniemi,0.0,,,,,,Laura Backa Kb,Suomi,NaT,Laura Backa Kb,Suomi,,Boris Keilaniemi,,,Laskutettu,Alv 22 %,10.0,Hotelliyöpyminen Matkustajakoti Terminus ,Hotelliyöpyminen Matkustajakoti Terminus,Hotel stay at Matkustajakoti Terminus,Avoin,Kulu
 Tietoimtus/jkevyt liikenne,14,Edunvalvontapalvelu - Maantiet,Boris Keilaniemi,13.8,,,Lakipalveluja,Boris Keilaniemi,2009-01-07,Osakas,2008-09-11,170.0,13.8,,False,20080085,1173.0,2009-01-07,1143.0,False,Boris Keilaniemi,0.0,,,,,,Laura Backa Kb,Suomi,NaT,Laura Backa Kb,Suomi,,Boris Keilaniemi,,juridiikka,Laskutettu,Alv 22 %,1173.0,Puhelinneuvottelu,Puhelinneuvottelu,Phone meeting,Avoin,Palkkio
 Tietoimtus/jkevyt liikenne,14,Edunvalvontapalvelu - Maantiet,Boris Keilaniemi,4.0,,,,Boris Keilaniemi,2009-01-07,Osakas,2008-09-10,170.0,4.0,,False,20080085,340.0,2009-01-07,310.0,False,Boris Keilaniemi,0.0,,,,,,Laura Backa Kb,Suomi,NaT,Laura Backa Kb,Suomi,,Boris Keilaniemi,,juridiikka,Laskutettu,Alv 22 %,340.0,Toimeksiantoon perehtyminen,Tutkittu asiaa,Investigation,Avoin,Palkkio
 Tietoimtus/jkevyt liikenne,14,Edunvalvontapalvelu - Maantiet,Boris Keilaniemi,0.0,,,,Boris Keilaniemi,2009-01-07,Osakas,2008-09-12,,0.0,,False,20080085,31.0,2009-01-07,,False,Boris Keilaniemi,0.0,,,,,,Laura Backa Kb,Suomi,NaT,Laura Backa Kb,Suomi,,Boris Keilaniemi,,,Laskutettu,Alv 22 %,31.0,pr,PR,PR,Avoin,Kulu
 Tietoimtus/jkevyt liikenne,14,Edunvalvontapalvelu - Maantiet,Boris Keilaniemi,0.0,,,,Boris Keilaniemi,2009-01-07,Osakas,2008-09-12,,0.0,,False,20080085,189.2,2009-01-07,,False,Boris Keilaniemi,0.0,,,,,,Laura Backa Kb,Suomi,NaT,Laura Backa Kb,Suomi,,Boris Keilaniemi,,,Laskutettu,Veroton,189.2,ski-hki-ski,Kilometrikorvaus,Mileage allowance,Avoin,Kulu
" Tnro 2008 123456, maantietoimitus välillä Ilomantsi Harjunpää",15,Edunvalvontapalvelu - Korvausneuvottelut,Nelli Niittykumpu,22.5,,Edunvalvontapalvelu,,Nelli Niittykumpu,2010-01-27,,2009-01-06,170.0,22.5,,False,20080081,1275.0,2009-01-07,1260.0,False,Nelli Niittykumpu,1275.0,,,,,,Kolmio Oy,Suomi,2010-01-27,Kolmio Oy,Suomi,Customer,Nelli Niittykumpu,,kiinteistön arviointi,Maksettu,Alv 22 %,1275.0,Asianajoa,Neuvottelu vankilassa,Meeting in a prison,Maksettu,Palkkio
" Tnro 2008 123456, maantietoimitus välillä Ilomantsi Harjunpää",15,Edunvalvontapalvelu - Korvausneuvottelut,Nelli Niittykumpu,3.0,,Edunvalvontapalvelu,Edunvalvontapalvelu,Nelli Niittykumpu,2010-01-27,,2008-09-12,170.0,3.0,,False,20080081,170.0,2009-01-07,140.0,False,Nelli Niittykumpu,170.0,,,,,,Kolmio Oy,Suomi,2010-01-27,Kolmio Oy,Suomi,Customer,Nelli Niittykumpu,,,Maksettu,Alv 22 %,170.0,Neuvottelu tstossa,Neuvottelu tstossa,Meeting at the office,Maksettu,Palkkio
 Tontti 091 10 15 58,16,Arviointipalvelu - Tontit,Yki Kontula,8.0,,,Lakipalveluja,Yki Kontula,2008-09-10,,2008-09-10,80.0,5.0,,False,,,2009-01-07,610.0,False,Boris Keilaniemi,0.0,,,,,,,,2009-03-11,ST1 huoltoasema,Suomi,,Boris Keilaniemi,,juridiikka,Kirjattu,,640.0,"Dokumentin laatiminen käräjäoikeudelle
g
g
g
g
g
g
gg",Perintäkirjeen laatiminen vastapuolelle,Writing a debt collection letter to counterpart,Laskutettu,Palkkio
 Tontti 091 10 15 58,16,Arviointipalvelu - Tontit,Yki Kontula,16.0,,,,Yki Kontula,2009-03-11,,2008-09-10,80.0,10.0,,False,20080086,640.0,2009-01-07,490.0,False,Boris Keilaniemi,640.0,,,,,,ST1 huoltoasema,Suomi,2009-03-11,ST1 huoltoasema,Suomi,,Boris Keilaniemi,,juridiikka,Maksettu,Alv 22 %,640.0,"Dokumentin laatiminen käräjäoikeudelle
g
g
g
g
g
g
gg
",Perintäkirjeen laatiminen vastapuolelle,Writing a debt collection letter to counterpart,Maksettu,Palkkio
 Tontti 091 10 15 58,16,Arviointipalvelu - Tontit,Yki Kontula,9.0,,,,Yki Kontula,2009-03-11,,2008-09-12,170.0,9.0,,False,20080086,510.0,2009-01-07,480.0,False,Boris Keilaniemi,510.0,,,,,,ST1 huoltoasema,Suomi,2009-03-11,ST1 huoltoasema,Suomi,,Boris Keilaniemi,,juridiikka,Maksettu,Alv 22 %,510.0,Esiintyminen oikeudessa,Esiintyminen oikeudessa,Court appearance,Maksettu,Palkkio
 Tontti 091 10 15 58,16,Arviointipalvelu - Tontit,Yki Kontula,0.0,,,,Yki Kontula,2009-03-11,,2008-09-12,,0.0,,False,20080086,44.0,2009-01-07,,False,Boris Keilaniemi,44.0,,,,,,ST1 huoltoasema,Suomi,2009-03-11,ST1 huoltoasema,Suomi,,Boris Keilaniemi,,,Maksettu,Alv 22 %,44.0,Matkakorvaus,Kilometrikorvaus,Mileage allowance,Maksettu,Kulu
 Tontti 091 10 15 58,16,Arviointipalvelu - Tontit,Yki Kontula,0.0,Laskutettava,,,Yki Kontula,2009-03-11,,2008-09-12,,0.0,,False,20080086,100.0,2009-01-07,,False,Boris Keilaniemi,100.0,,,,,,ST1 huoltoasema,Suomi,2009-03-11,ST1 huoltoasema,Suomi,,Boris Keilaniemi,,,Maksettu,Alv 22 %,100.0,päätöksen lunastus,Päätöksen lunastus,Resolution claim,Maksettu,Kulu
 lunastus,17,Edunvalvontapalvelu - Maantiet,Kati Alley,3.0,,,,Nelli Niittykumpu,2012-09-24,Asiantuntija,2012-09-24,300.0,3.0,,False,2012-0040,300.0,2012-09-24,300.0,False,Nelli Niittykumpu,300.0,,,,,,Kolmio Oy,Suomi,2012-09-24,Kolmio Oy,Suomi,Customer,Nelli Niittykumpu,,,Maksettu,Veroton,300.0,Käynti asiakkaan luona,Käynti asiakkaan luona,Visiting the customer,Maksettu,Palkkio
 Kolmoskuja 12,18,Arviointipalvelu - Asuinhuoneistot,Nelli Niittykumpu,2.0,,,,Nelli Niittykumpu,2012-02-24,,2008-09-12,170.0,2.0,,False,20110039,170.0,2012-02-24,140.0,False,Nelli Niittykumpu,0.0,,,,,,Kolmio Oy,Suomi,NaT,Kolmio Oy,Suomi,Customer,Kustaa Kulosaari,,,Laskutettu,Alv 23 %,170.0,Haastehakemuksen työstäminen,Haastehakemuksen työstäminen,Writing a complaint,Avoin,Palkkio
 Kolmoskuja 12,18,Arviointipalvelu - Asuinhuoneistot,Nelli Niittykumpu,0.0,,,,Nelli Niittykumpu,2012-02-24,,2008-09-12,,0.0,,False,20110039,200.64,2012-02-24,,False,Nelli Niittykumpu,0.0,,,,,,Kolmio Oy,Suomi,NaT,Kolmio Oy,Suomi,Customer,Kustaa Kulosaari,,,Laskutettu,Alv 23 %,200.64,Matkakorvaus Helsinki-Rauma-Helsinki,Kilometrikorvaus,Mileage allowance,Avoin,Kulu
 Kolmoskuja 12,18,Arviointipalvelu - Asuinhuoneistot,Nelli Niittykumpu,2.0,,,,Nelli Niittykumpu,2012-02-24,,2008-09-12,170.0,2.0,,False,20110039,170.0,2012-02-24,140.0,False,Nelli Niittykumpu,0.0,,,,,,Kolmio Oy,Suomi,NaT,Kolmio Oy,Suomi,Customer,Kustaa Kulosaari,,,Laskutettu,Alv 23 %,170.0,Neuvottelu tstossa,Neuvottelu tstossa,Meeting at the office,Avoin,Palkkio
 Kolmoskuja 12,18,Arviointipalvelu - Asuinhuoneistot,Nelli Niittykumpu,0.0,,,,Nelli Niittykumpu,2012-02-24,,2008-09-12,,0.0,,False,20110039,31.0,2012-02-24,,False,Nelli Niittykumpu,0.0,,,,,,Kolmio Oy,Suomi,NaT,Kolmio Oy,Suomi,Customer,Kustaa Kulosaari,,,Laskutettu,Alv 23 %,31.0,pr,PR,PR,Avoin,Kulu
 lasten huolto,2,Hallintoasia,Jari London,2.0,,,,Jopi Jalkapuoli,2013-05-30,,2013-05-30,0.0,2.0,,False,,,NaT,0.0,False,Jopi Jalkapuoli,0.0,,,,,,,,NaT,Nieminen Pirkko,Suomi,,Helen Hakaniemi,,,Kirjattu,,0.0,lasten huolto: hoidettu lapsia,Muu,Other,Avoin,Palkkio
 Jatkuva luottopäätös,20080001,Jatkuva luottopäätös,Helen Hakaniemi,0.0,,,,Boris Keilaniemi,2010-01-21,,2008-09-08,170.0,0.0,Muu,False,20090137,510.0,2010-01-21,480.0,False,Helen Hakaniemi,182.13,,,,,,Jakelutori Oy,Suomi,2010-01-21,Jakelutori Oy,Suomi,Customer,Nelli Niittykumpu,,,Maksettu,Alv 22 %,510.0,Toimeksiantoon perehtyminen,Tutkittu asiaa,Investigation,Maksettu,Palkkio
 Luottopäätös,20080004,Kertaluottopäätös,Helen Hakaniemi,142.48,,,,Kustaa Kulosaari,2013-01-22,,2013-01-04,85.0,142.48,,False,2013-0063,2847.5,2013-01-04,4220.0,False,Kustaa Kulosaari,2419.35,,,,,,Riikka Oy,Suomi,NaT,Riikka Oy,Suomi,Customer,Kustaa Kulosaari,,,Maksettu,Alv 24 %,4250.0,Matkustamiseen käytetty aika,Matkustamiseen käytetty aika,Travel time,Tulostettu,Palkkio
 Murto pankkiin,20080005,Rikosoikeus,Helen Hakaniemi,19.5,,Palvelu,,Helen Hakaniemi,2009-01-28,,2009-01-07,170.0,19.5,Pankki,False,20080079,1105.0,2009-01-07,1075.0,False,Helen Hakaniemi,1105.0,,,,,,Ankallispankki Oy,Suomi,2009-01-28,Ankallispankki Oy,Suomi,Prospect,Helen Hakaniemi,,,Maksettu,Alv 22 %,1105.0,Dokumentin laatiminen,Perintäkirjeen laatiminen vastapuolelle,Writing a debt collection letter to counterpart,Maksettu,Palkkio
